max_depth,learning_rate,n_estimators,score,time
[CV 25/30] END base_estimator__max_depth=3, 0.03, 200, 0.731, 58.0s
[CV 26/30] END base_estimator__max_depth=3, 0.03, 200, 0.757, 55.5s
[CV 27/30] END base_estimator__max_depth=3, 0.03, 200, 0.761, 55.9s
[CV 28/30] END base_estimator__max_depth=3, 0.03, 200, 0.725, 55.7s
[CV 29/30] END base_estimator__max_depth=3, 0.03, 200, 0.733, 55.3s
[CV 30/30] END base_estimator__max_depth=3, 0.03, 200, 0.738, 55.8s
[CV 1/30] END base_estimator__max_depth=3, 0.03, 225, 0.766,1.1min
[CV 2/30] END base_estimator__max_depth=3, 0.03, 225, 0.748,1.1min
[CV 3/30] END base_estimator__max_depth=3, 0.03, 225, 0.747,1.1min
[CV 4/30] END base_estimator__max_depth=3, 0.03, 225, 0.734,1.1min
[CV 5/30] END base_estimator__max_depth=3, 0.03, 225, 0.775,1.1min
[CV 6/30] END base_estimator__max_depth=3, 0.03, 225, 0.739,1.1min
[CV 7/30] END base_estimator__max_depth=3, 0.03, 225, 0.747,1.1min
[CV 8/30] END base_estimator__max_depth=3, 0.03, 225, 0.753,1.1min
[CV 9/30] END base_estimator__max_depth=3, 0.03, 225, 0.774,1.1min
[CV 10/30] END base_estimator__max_depth=3, 0.03, 225, 0.731,1.1min
[CV 11/30] END base_estimator__max_depth=3, 0.03, 225, 0.772,1.1min
[CV 12/30] END base_estimator__max_depth=3, 0.03, 225, 0.743,1.1min
[CV 13/30] END base_estimator__max_depth=3, 0.03, 225, 0.768,1.1min
[CV 14/30] END base_estimator__max_depth=3, 0.03, 225, 0.752,1.1min
[CV 15/30] END base_estimator__max_depth=3, 0.03, 225, 0.765,1.1min
[CV 16/30] END base_estimator__max_depth=3, 0.03, 225, 0.731,2.1min
[CV 17/30] END base_estimator__max_depth=3, 0.03, 225, 0.735,2.1min
[CV 18/30] END base_estimator__max_depth=3, 0.03, 225, 0.744,2.1min
